,num_pit_samples,take_num_samples_when_full,normal_backtransform,trainable_bandwidths,model_id,task_type,num_classes,dataset,error,number_features,instances
191,100,10,False,False,model 2,regression,-1,cal_house,0.781752451791172,8,20640
192,150,0,True,True,model 2,regression,-1,cal_house,0.9482328748086166,8,20640
193,150,0,True,False,model 2,regression,-1,cal_house,0.9726313231285261,8,20640
194,150,0,False,True,model 2,regression,-1,cal_house,0.9385133632282794,8,20640
195,150,0,False,False,model 2,regression,-1,cal_house,0.9755608099854056,8,20640
196,150,1,True,True,model 2,regression,-1,cal_house,0.9379630560131547,8,20640
197,150,1,True,False,model 2,regression,-1,cal_house,0.9160908625433279,8,20640
198,150,1,False,True,model 2,regression,-1,cal_house,0.8599161132369081,8,20640
199,150,1,False,False,model 2,regression,-1,cal_house,0.9752931779888288,8,20640
200,150,2,True,True,model 2,regression,-1,cal_house,0.8779251463867435,8,20640
201,150,2,True,False,model 2,regression,-1,cal_house,0.9358861159860545,8,20640
202,150,2,False,True,model 2,regression,-1,cal_house,0.8145579759095534,8,20640
203,150,2,False,False,model 2,regression,-1,cal_house,0.9086432729119538,8,20640
204,150,3,True,True,model 2,regression,-1,cal_house,0.9104716198258003,8,20640
205,150,3,True,False,model 2,regression,-1,cal_house,0.9027556871986985,8,20640
206,150,3,False,True,model 2,regression,-1,cal_house,0.8593481268038765,8,20640
207,150,3,False,False,model 2,regression,-1,cal_house,0.9361800617595861,8,20640
208,150,5,True,True,model 2,regression,-1,cal_house,0.8941039011762246,8,20640
209,150,5,True,False,model 2,regression,-1,cal_house,0.9461446446808077,8,20640
210,150,5,False,True,model 2,regression,-1,cal_house,0.8153767682697395,8,20640
211,150,5,False,False,model 2,regression,-1,cal_house,0.8468740970252737,8,20640
212,150,10,True,True,model 2,regression,-1,cal_house,0.9327470416571184,8,20640
213,150,10,True,False,model 2,regression,-1,cal_house,0.9134241718820519,8,20640
214,150,10,False,True,model 2,regression,-1,cal_house,0.7901794078824229,8,20640
215,150,10,False,False,model 2,regression,-1,cal_house,0.9039328585041837,8,20640
216,250,0,True,True,model 2,regression,-1,cal_house,0.9492005720531658,8,20640
217,250,0,True,False,model 2,regression,-1,cal_house,0.9837848386247233,8,20640
218,250,0,False,True,model 2,regression,-1,cal_house,0.9271273564989838,8,20640
219,250,0,False,False,model 2,regression,-1,cal_house,0.867478224720802,8,20640
